Ajans,Sandik,RTE,KK,tur
AA,9.1,59.5,34.8,1
AA,10.9,58.3,35.8,1
AA,12.8,57.5,36.7,1
AA,14.8,56.7,37.4,1
AA,17,56,38.1,1
AA,19.1,55.5,38.6,1
AA,21.3,55,39,1
AA,23.6,54.6,39.4,1
AA,25.7,54.3,39.8,1
AA,27.9,53.9,40.1,1
AA,30.2,53.6,40.4,1
AA,32.3,53.4,40.7,1
AA,34.4,53.2,40.9,1
AA,36.3,53,41,1
AA,38.2,52.8,41.2,1
AA,40,52.7,41.4,1
AA,41.8,52.6,41.6,1
AA,45.7,52.3,41.8,1
AA,51,52,42.1,1
AA,52,52,42.2,1
AA,54.6,51.9,42.3,1
AA,59.4,51.6,42.5,1
AA,61.3,51.6,42.6,1
AA,70.4,51.1,43.1,1
AA,71.9,51,43.2,1
AA,75.8,50.8,43.4,1
AA,79.5,50.5,43.7,1
AA,84.3,50.2,44,1
ANKA,84.6,48.7,45.5,1
ANKA,90.1,49,45.2,1
AA,92,49.8,44.5,1
ANKA,94.9,49.2,45,1
ANKA,95,49.2,45,1
AA,97.2,49.3,44.9,1
ANKA,96.9,49.3,45,1
AA,99,49.4,44.9,1
ANKA,10.5,50.3,44.4,1
ANKA,12.6,50.7,44,1
ANKA,35.1,47.21,47.04,1
ANKA,31.1,47.4,46.8,1
ANKA,39.7,47.3,47,1
ANKA,44.5,47.4,46.8,1
ANKA,46.8,47.5,46.7,1
ANKA,60.1,48,46.2,1
ANKA,64.9,48.1,46.1,1
ANKA,75.7,48.5,45.8,1
ANKA,9.7,50,44.6,1
ANKA,6.42,49.88,44.87,1
ANKA,1.87,49.8,45.3,1
ANKA,100,49.52,44.88,1
AA,100,49.52,44.88,1